url,title,summary,datePublished,dateAdded,authorName,authorUrl
https://ramblinggit.com/2018/09/13/let-us-build.html,Let Us Build a New Web,,2018-09-13,2024-03-03,Brad Enslen,https://ramblinggit.com/
https://www.fromjason.xyz/p/notebook/where-have-all-the-websites-gone/,Where have all the websites gone?,,2024-01-08,2024-03-03,Jason Velazquez,https://www.fromjason.xyz/
https://brandonsblog.bearblog.dev/ruminating-on-walled-gardens/,Ruminating on Walled Gardens,,2024-02-16,2024-03-03,Brandon,https://brandonsblog.bearblog.dev/ruminating-on-walled-gardens/
https://thecreativeindependent.com/essays/laurel-schwulst-my-website-is-a-shifting-house-next-to-a-river-of-knowledge-what-could-yours-be/,My website is a shifting house next to a river of knowledge. What could yours be?,,2018-05-21,2024-02-11,Laurel Schwulst,https://laurelschwulst.com/
https://noisydeadlines.net/rediscovering-the-old-internet-vibe,Rediscovering the Old Internet Vibe,,2023-09-07,2024-02-11,Noisy Deadlines,https://noisydeadlines.net/
https://www.dirtyfeed.org/2024/01/click-around-find-out/,"Click around, find out",,2024-01-21,2024-02-11,John Hoare,https://www.dirtyfeed.org/
https://pxlnv.com/blog/bullshit-web/,The Bullshit Web,,2018-11-30,2024-02-11,Nick Heer,https://pxlnv.com/
https://rebeccatoh.co/the-old-internet/,The old internet,,2020-01-16,2024-02-11,Rebecca Toh,https://rebeccatoh.co/
https://kayserifserif.place/work/manifesto/,Computers: An Invocation for Soft Tech,,2023-09-01,2024-02-11,Katherine Yang,https://kayserifserif.place/
https://bewrong.substack.com/p/the-hipster-internet,i really love the (hipster) internet,,2023-02-02,2024-02-11,Judah,https://joodaloop.com/
https://zserge.com/posts/small-web/,Poor man's web,,2021-04-27,2024-02-11,Serge Zaitsev,https://zserge.com/
https://jamesg.blog/2024/01/06/the-web-is-yours/,The web is yours,,2024-01-06,2024-02-11,James G,https://jamesg.blog/
https://robertkingett.com/posts/6158/,Refuge in blogs and the IndieWeb,,2023-10-17,2024-02-11,Robert Kingett,https://robertkingett.com/
https://flamedfury.com/posts/i-love-the-web/,I Love the Web,,2021-04-06,2024-02-11,fLaMEd,https://flamedfury.com/
https://minutestomidnight.co.uk/personal-manifesto/,a personal manifesto,,2023-04-20,2024-01-04,Simone Silvestroni,https://minutestomidnight.co.uk/
https://library.xandra.cc/everyone-should-blog/,"Everyone Should Blog, And That Includes You","""i want there to be a diverse range of the human experience documented online""",2023-12-30,2024-01-04,Alexandra,https://xandra.cc/
https://nicochilla.com/my-website-as-a-home/,My website as a home,,2023-11-13,2024-01-04,Nico Chilla,https://nicochilla.com/
https://wiki.melonland.net/web_revival,The Web Revival,,2023-11-10,2024-01-04,Melon,https://melonland.net/
https://victoria.dev/blog/make-your-own-independent-website/,Make your own independent website,,2021-01-16,2024-01-04,Victoria Drake,https://victoria.dev/
https://dangillmor.com/2014/04/25/indie-web-important/,Why the Indie Web movement is so important,,2014-04-25,2024-01-04,Dan Gillmor,https://dangillmor.com/
https://24ways.org/2019/its-time-to-get-personal/,It’s Time to Get Personal,,2019-12-09,2024-01-04,Laura Kalbag,https://laurakalbag.com/
https://www.thejaymo.net/2019/12/14/114-please-for-the-love-of-blarg-start-a-blog/,"Please for the love of Blarg, Start a Blog",,2019-12-14,2024-01-04,Jay Springett,https://www.thejaymo.net/
https://syllabusproject.org/syllabus-for-taking-an-internet-walk/,Taking an Internet Walk,,unknown,2023-11-12,Spencer Chang;Kristoffer Tjalve,https://www.spencerchang.me/;https://cloudlord.management/
https://tiny-inter.net/,tiny internets,,unknown,2023-11-12,Spencer Chang,https://www.spencerchang.me/
https://maerk.xyz/blog/you-should-have-a-website/,You Should Have a Website,,unknown,2023-11-12,Mark Murphy,https://maerk.xyz/
https://felix.plesoianu.ro/web/in-the-small.html,Notes on the small web,,2022-09-10,2023-10-24,Felix Pleşoianu,https://felix.plesoianu.ro/
https://briankoberlein.com/tech/quiet-web/,The Quiet Web,,2021-02-12,2023-10-24,Brian Koberlein,https://briankoberlein.com/
https://noisydeadlines.net/rediscovering-the-old-internet-vibe,Rediscovering the Old Internet Vibe,,2023-09-07,2023-10-24,noisydeadlines.net,https://noisydeadlines.net/
https://helena.mmm.page/soft_tech,Soft tech,A poem on what the internet could be...,unknown,2023-10-24,Helena Jaramillo,https://everywwwhere.net/
https://www.technologyreview.com/2023/10/17/1081194/how-to-fix-the-internet-online-discourse/,How to fix the internet,"""We need to learn to appreciate areas of the internet that are small, like a new Mastodon server or Discord or blog. We need to trust in the power of '1,000 true fans' over cheaply amassed millions.""",2023-10-17,2023-10-19,Katie Notopoulos,https://katienotopoulos.com/
https://om.co/2023/10/15/social-internet-is-dead-get-used-to-it/,Social Internet Is Dead. Get Over It.,"More about the demise of social media than the value of personal websites, but still an important piece of the discourse",2023-10-15,2023-10-18,Om Malik,https://om.co/
https://www.devastatia.com/thread-9.html,Build your own website!,,2023-07-09,2023-10-16,Devastatia del Gato,https://devastatia.com/
https://whitevhs.xyz/articles/2023/08/29/personal-websites,The Importance of Personal Websites,The author describes some pros and cons of personal websites and how they've set theirs up,2023-08-29,2023-10-16,Hayden White,https://whitevhs.xyz/
https://www.links.net/dox/tech/whyweb.html,why the web?,"""The web will reflect humanity if we put our lives online.""",unknown,2023-09-30,Justin Hall,https://www.links.net/
https://foreverliketh.is/blog/exploring-the-personal-web/,Exploring the Personal Web,Includes a great meta-list of Collectives and Projects for identifying other personal websites,2023-05-06,2023-09-30,foreverliketh.is,https://foreverliketh.is/
https://leportella.com/why-have-a-blog.html/,Why you should have a blog (and write in it),I like the prompts for what to write,2020-06-21,2023-09-30,Leticia Portella,https://leportella.com/
https://tracydurnell.com/2023/09/23/my-20th-anniversary-of-blogging/,My 20th anniversary of blogging!,"""People are looking for other people, not performances of personas, and a personal blog is a more likely place to find that than social media these days.""",2023-09-23,2023-09-30,Tracy Durnell,https://tracydurnell.com/
https://localghost.dev/about/,About me (localghost),"""Like many other people in the early 00s, I learnt to build websites by clicking View Source, copying bits I liked, then changing them slightly""",unknown,2023-09-12,Sophie Koonin,https://localghost.dev/
https://johnnyrodgers.is/at-home-on-the-internet,At home on the internet,"""Personally, I just want a place I can put my stuff online again – without advertising, without engagement gaming, without endless notifications, without audience-building acrobatics.""",unknown,2023-09-12,Johnny Rodgers,https://johnnyrodgers.is/
https://how-i-experience-web-today.com/,How I experience web today,A painfully familiar parody that shows everything wrong with the web today,unknown,2023-09-12,Li Guangyi,
https://www.zinzy.website/site,About this website,"""I grew up on the Internet in a time when social media meant writing comments on other people’s hand-built blogs.""",unknown,2023-09-12,Zinzy Waleson Geene,https://www.zinzy.website/
https://stackingthebricks.com/how-blogs-broke-the-web/,How the Blog Broke the Web,A critique of reverse chronological sorting and specifically Movable Type.,unknown,2023-09-12,Amy Hoy,https://stackingthebricks.com/
https://joanwestenberg.medium.com/i-miss-the-internet-c7e41544a8b9,I miss the internet.,"""You didn’t so much surf the web as explore it, encountering unknown territories and unexpected gems. Websites were less about utility and more about passion. Amateur webmasters crafted their domains as personal expressions, little slices of their world that they invited you into.""",2023-07-07,2023-09-12,Joan Westenberg,
https://eftegarie.com/every-person-on-the-planet-should-have-their-own-website/,Every person on the planet should have their own website,Short and to the point,2023-07-06,2023-09-12,Amin Eftegarie,https://eftegarie.com/
https://pawelgrzybek.com/eight-years-of-blogging/,Eight years of blogging,"""Having a little space on the Web where you can do whatever the heck you want is fun. Using it for learning new skills and teaching others is fun. Exchanging links with others is fun!""",2023-03-11,2023-09-12,Paweł Grzybek,https://pawelgrzybek.com/
https://cdevroe.com/2023/01/11/blogging-is-alive,Blogging is alive and well,Optimism that we'll continue to see a resurgence of personal websites,2023-01-11,2023-09-12,Colin Devroe,https://cdevroe.com/
https://matthiasott.com/notes/the-year-of-the-personal-website,The Year of the Personal Website,Call to action to make 2023 the year of the personal website,2023-01-06,2023-09-12,Matthias Ott,https://matthiasott.com/
https://www.theverge.com/23513418/bring-back-personal-blogging,Bring back personal blogging,"""The personal blog built the internet, and maybe it can fix it.""",2022-12-31,2023-09-12,Monique Judge,https://moniquejudge.com/
https://manuelmoreale.com/passionless-web,Passionless Web,Manu writes about personal websites quite frequently; this is one piece of many. Check out his archives for more.,2022-08-16,2023-09-12,Manuel Moreale,https://manuelmoreale.com/
https://tomcritchlow.com/2022/03/08/architecture-blogging/,"Building a Digital Homestead, Bit by Brick","""A personal site, or a blog, is more than just a collection of writing. It’s a kind of place - something that feels like home among the streams.""",2022-03-08,2023-09-12,Tom Critchlow,https://tomcritchlow.com/
https://eyeondesign.aiga.org/early-web-design-helped-generation-express/,Early Web Design Helped a Generation Express Themselves Online. How Do We Capture That Feeling Again?,This article focuses on design aspects of early websites and the creativity unlocked by that environment,2022-03-08,2023-09-12,Nika Simovich Fisher,https://www.nikafisher.com/
https://cheapskatesguide.org/articles/joys-and-sorrows.html,The Joys and Sorrows of Maintaining a Personal Website,"""As someone running a personal website, you are like the neighborhood cobbler competing against the national chain stores. You know your product is superior, but you still have no hope of prevailing. Your best possible outcome is merely surviving to continue the struggle.""",2022-03-06,2023-09-12,"""Cheapskate""",https://cheapskatesguide.org/
https://www.daniel.pizza/writing/building-home-web,On building a home on the web,"""Stumbling upon these websites was a bit like walking into their physical house, leaving your shoes by the door and, glass in hand, taking a peek at the spines of their books, their record collection, the picture frames on the wall, or the tidbits they displayed on the sideboard.""",2022-02-25,2023-09-12,Daniël van der Winden,https://www.daniel.pizza/
https://notebook.wesleyac.com/how-websites-die/,How Websites Die,"""It pains me to see people build websites with no feeling of obligation to them — when you put something out into the world, it is your responsibility to care for it.""",2022-02-21,2023-09-12,Wesley Aptekar-Cassels,https://wesleyac.com/
https://www.tandfonline.com/doi/full/10.1080/24701475.2021.1985836,“Tom had us all doing front-end web development”: a nostalgic (re)imagining of Myspace,"Fascinating academic paper studying shifts in Twitter discourse surrounding MySpace, with a callout for girls and BIPOC youth who were able to learn basic coding and other technical skills via their pages",2021-10-07,2023-09-12,Kate M. Miltner;Ysabel Gerrard,https://katemiltner.com/;
https://chuck.is/web-independent/,Why Personal Websites are Important,"""Your website should be the primary place where all of the stuff you create goes. It should be THE place for people to find and communicate with you.""",2021-03-25,2023-09-12,Chuck Carroll,https://chuck.is/
https://atthis.link/blog/2021/personalsite.html,The Value of a Personal Site,Personal sites can be used for learning technologies and sharing learnings,2021-03-15,2023-09-12,Marc,https://atthis.link/
https://benhoyt.com/writings/the-small-web-is-beautiful/,The small web is beautiful,,2021-03-01,2023-09-12,Ben Hoyt,https://benhoyt.com/
https://winnielim.org/experiments/website/envisioning-my-homepage-as-an-online-therapeutic-space/,envisioning my homepage as an online therapeutic space,"Winnie has written a lot about her presence on the web, why she writes, and personal websites in general.",2020-11-22,2023-09-12,Winnie Lim,https://winnielim.org/
https://cheapskatesguide.org/articles/personal-website-hunting.html,Hunting the Nearly-Invisible Personal Website,Humorous article that compares the personal website to a rare species,2020-08-27,2023-09-12,"""Cheapskate""",https://cheapskatesguide.org/
https://ar.al/2020/08/07/what-is-the-small-web/,What is the Small Web?,"Includes a nice mental model of the small web scaling horizontally, unlike the corporate web which scales vertically",2020-08-07,2023-09-12,Aral Balkan,https://ar.al/
https://neustadt.fr/essays/the-small-web/,Rediscovering the Small Web,"""A painter wouldn’t add more red to her painting or change the composition because market data showed that people liked it better. It’s her creative vision; some people might like it, others might not.""",2020-05-25,2023-09-12,Parimal Satyal,https://neustadt.fr/
https://roelvanderven.com/blog/attention-management-owning-content,On attention management & owning your content,"""The internet became a terrible place. It seems that today we need to give our data, content and attention to others in order to receive a virtual form of social affirmation. This is my answer to that.""",2017-06-04,2023-09-12,Roel van der Ven,https://roelvanderven.com/
https://dariusforoux.com/stop-crowdsourcing-confidence/,Stop Crowdsourcing Your Confidence,This one is less about personal websites and more about how social media can be toxic. The ideas are important in the overall discourse.,2016-08-25,2023-09-12,Darius Foroux,https://dariusforoux.com/
https://archive.ph/2013.12.27-041357/http://frankchimero.com/blog/2013/12/homesteading-2014/,Homesteading 2014,"""In light of the noisy, fragmented internet, I want a unified place for myself—the internet version of a quiet, cluttered cottage in the country.""",2013-12-21,2023-09-12,Frank Chimero,https://frankchimero.com/
https://deathtobullshit.com/,Death to Bullshit,"""...we as creators have a decision to make: do we want to be part of the 90% of noise out there, or do we want to be part of the 10% of signal?""",2013-04-08,2023-09-12,Brad Frost,https://bradfrost.com/
https://maggieappleton.com/garden-history,A Brief History & Ethos of the Digital Garden,"While not the same as personal blogs, digital gardens are adjacent, and lately it feels like adoption within the personal website-verse is increasing. This is a solid history (with illustrations!) and detailed exposition on the concept.",unknown,2023-09-12,Maggie Appleton,https://maggieappleton.com/
http://sawv.org/en.html,E/N (Everything/Nothing),"The everything/nothing concept never quite took off the way ""blogs"" or ""digital gardens"" have, but I think it's an important piece of web history and gets at the core of why personal websites are important even if it feels like no one else cares about yours except you",unknown,2023-09-12,JR (Sawv),http://sawv.org/
